,T,p,rho
8659,0.029818991409183093,0.11994177705657294,0.9875668402326834
8660,0.42070567762426403,0.7249307901474801,0.8220919090499816
8661,0.4151371761138939,0.7266850084375582,0.8245744189268801
8662,0.6859245003140441,0.8089560508211757,0.6835382429846415
8663,0.7037624070004762,0.2378956751266288,0.6447146046789239
8664,0.4523665810409767,0.9676500651341072,0.8118510344202083
8665,0.5712752624171991,0.4690374605710119,0.7427916544428811
8666,0.1690909388157581,0.2951723883245413,0.928708095428182
8667,0.43032319702721233,0.17391325225583154,0.8096479233478691
8668,0.9825500160933847,0.07141458516299948,0.01085798724262448
8669,0.30416318042886603,0.7126919621775651,0.8745027151715137
8670,0.4704881639889652,0.9499119151512193,0.8031991177095033
8671,0.5401960280666687,0.41692978207817644,0.7574267700077506
8672,0.6423166786101939,0.3145896156025879,0.6917635528841972
8673,0.713479905217368,0.7503024434524367,0.6652748279879899
8674,0.5945383429490816,0.1726136104634396,0.7221952731766915
8675,0.6758707437757231,0.7905540307661187,0.688336307999488
8676,0.38466830152083475,0.8799333697456951,0.8403600903801746
8677,0.449432427572494,0.7470860257005606,0.8097635457790058
8678,0.4994520003688383,0.4838578413665633,0.7805004839514513
8679,0.6571701579847049,0.748806218265628,0.6974627499519461
8680,0.14918933022897507,0.8410363230304002,0.9411598483920729
8681,0.6638761159430167,0.7255740282445873,0.6925607271910302
8682,0.8369571145294383,0.9451846720845691,0.5830442363290438
8683,0.3047211232289432,0.4912905424607059,0.8720064731753605
8684,0.6476526476136081,0.6051887374102822,0.7000884050991947
8685,0.8456723832964137,0.12625611830853145,0.02596618280939746
8686,0.46201643303461215,0.2721812829288076,0.796579093408289
8687,0.5051017183730566,0.7910467438350722,0.7839788341550837
8688,0.7135451057321791,0.8314500006145535,0.6690413538342435
8689,0.8976980217442316,0.8490798819548259,0.5131558364979375
8690,0.5911950109699103,0.7413709338159777,0.739262127064046
8691,0.7238039740788946,0.6945282495724833,0.6568480683598894
8692,0.5082557963074612,0.44498471852016586,0.7748131012955846
8693,0.2616792824483428,0.20646259162200775,0.887995429630306
8694,0.5149890041641013,0.2793447918605646,0.7673047443145942
8695,0.6030308599253068,0.5936018012603207,0.728630585742015
8696,0.2822056990532622,0.5234345029150851,0.8820052365019666
8697,0.1074015484830062,0.2315004420250738,0.9545854643318146
8698,0.08938077328901584,0.03233047655599086,0.961166834096797
8699,0.47451978470993295,0.3993348596858395,0.791764505381004
8700,0.7411977212866174,0.952249684442537,0.6536545135733798
8701,0.3018645025601414,0.7166143021641102,0.8755324550177316
8702,0.4947616548135493,0.4096560095901335,0.7808022641024396
8703,0.11645649279991066,0.8516947741959405,0.9548538774403065
8704,0.9881458220613898,0.15474839955481223,0.029513819436190532
8705,0.19075377458474563,0.026384645386909544,0.9174321213763543
8706,0.7842337478752389,0.08391999154743413,0.015441187988185917
8707,0.4872869611605366,0.6877070546262073,0.7910332778634687
8708,0.17103500068782362,0.9643960278356748,0.9327349204543656
8709,0.32175106821918964,0.6838153016213744,0.8666355370304555
8710,0.13226654268304128,0.9828925808323006,0.9489861517988891
8711,0.5557804249294349,0.9277534047298137,0.7614995771910089
8712,0.7632836609420509,0.7792222050858667,0.6214477817656321
8713,0.19196436091073388,0.7519098908336972,0.9224214358069308
8714,0.3001496977790028,0.0818508839779789,0.8697314062518013
8715,0.7785815859128332,0.5849351067976577,0.5956508344482685
8716,0.3753186068244486,0.831961799716618,0.8437477122901728
8717,0.8408739599582311,0.3043855956542548,0.08477731372976358
8718,0.2250540472255731,0.5090873932785984,0.9064559838702365
8719,0.12390702095351314,0.7545116050612619,0.9512180738367911
8720,0.757543534401639,0.8511554284793927,0.6310820250259387
8721,0.4717882838535681,0.46518509227746163,0.7943798561435795
8722,0.9091277880463914,0.509606024180229,0.3773575111121027
8723,0.8703334526887913,0.34131681934818625,0.08966802300000609
8724,0.4033421626067555,0.7786469504037223,0.8305724365875493
8725,0.08403946293054965,0.3100498610180491,0.965051722122203
8726,0.39841441645187514,0.8136156173097733,0.8332815848199847
8727,0.3467676674790642,0.8734770193268555,0.8572430478415829
8728,0.47992532115375897,0.38049405165139394,0.7884503922450773
8729,0.7253982462820179,0.8196789891494052,0.6618160335253653
8730,0.6966419562466757,0.7494417298343522,0.6747147031048207
8731,0.33158772280780513,0.7611249561565848,0.8630647251577477
8732,0.9261901568178716,0.7667898787423446,0.46985238927899475
8733,0.42165598895200085,0.39063944635655135,0.817146493469476
8734,0.8077840481536405,0.23897168932992752,0.06532247354551682
8735,0.5244324402819375,0.5242317843299514,0.7685917510416661
8736,0.373389300287713,0.013001137347782854,0.8352887548014274
8737,0.9528683732254104,0.6762214277695403,0.3560943082013195
8738,0.2253907056051755,0.8378192208728332,0.9090341442843206
8739,0.770946407306385,0.20735273368483254,0.05395025807290951
8740,0.08800978434897477,0.8196198502927591,0.966528437733625
8741,0.5917479233559138,0.6950544387788086,0.7378390121740995
8742,0.9795650193699086,0.9751387460855252,0.442241471670176
8743,0.8114818578648261,0.731303492091964,0.5697333444942012
8744,0.7064314498353693,0.5102120057711017,0.6597866503530534
8745,0.5585554192695895,0.20116747813073155,0.7418246315048953
8746,0.5296525366838982,0.4534755088470236,0.7639503119467381
8747,0.011623761896336404,0.05796829181715857,0.9952148191338829
8748,0.05922252026501451,0.6842509771200597,0.977779304625143
8749,0.3352766146911077,0.5932583965263619,0.8596410242580051
8750,0.41573612340957966,0.013903571175091334,0.8152703311423737
8751,0.628796124849204,0.7212470915802569,0.7151168340100507
8752,0.9703658723945522,0.7747165523277133,0.36754156036446883
8753,0.2609184686131969,0.8988177806434186,0.8945883159056949
8754,0.990448772022533,0.8054528035037737,0.3291043384223361
8755,0.9752371946453874,0.3655190334417172,0.08149336702897325
8756,0.27450917907186767,0.526888513329038,0.885353420666954
8757,0.6826179082509576,0.2591001100907394,0.6607558243370724
8758,0.4107531163098518,0.9329203288310438,0.8296694484947411
8759,0.24445300312950236,0.8097846661664875,0.9008441302083019
8760,0.5734227537498656,0.2170322470982905,0.7344330043975819
8761,0.9948701312073156,0.6933119890786317,0.2461361596937352
8762,0.8761991324311889,0.5000084085065771,0.4659445240786356
8763,0.8592769745704275,0.3166940298686549,0.0852660012257069
8764,0.6793772888591413,0.45302662850193454,0.665225584255705
8765,0.9082031959922681,0.9642815973471895,0.5186735814170194
8766,0.5236328836736188,0.4291587803130076,0.7663760743421923
8767,0.28134063424760936,0.44061278905539814,0.8816811193222316
8768,0.8770708175838611,0.30313518354585856,0.07966698629922739
8769,0.6305618602291214,0.6455574343140923,0.7121195394525605
8770,0.2587725715168151,0.26653320393409263,0.8899514891631284
